sample_id,pop,location,reef,num_reads,total_bases,seq_depth,mapping_rate,genome_cov,mapping_depth,net_mapping_depth
DI-1-8_S24,DI,Dunk Island,Inner,11639418,1175581218,2.41,92.92%,71.09%,2.10233,2.95709
DI-2-10_S38,DI,Dunk Island,Inner,12636456,1276282056,2.62,92.52%,73.36%,2.26102,3.08199
DI-2-13_S7,DI,Dunk Island,Inner,16630506,1679681106,3.45,91.73%,79.22%,2.95793,3.73373
DI-2-16_S16,DI,Dunk Island,Inner,15916554,1607571954,3.30,87.88%,77.77%,2.71993,3.49722
DI-2-17_S8,DI,Dunk Island,Inner,15508600,1566368600,3.22,91.10%,77.38%,2.73454,3.53378
DI-2-18_S1,DI,Dunk Island,Inner,12453888,1257842688,2.58,90.76%,71.67%,2.18316,3.04623
DI-2-19_S16,DI,Dunk Island,Inner,17228130,1740041130,3.57,92.77%,79.13%,3.10036,3.91807
DI-2-1_S11,DI,Dunk Island,Inner,13652208,1378873008,2.83,95.24%,74.71%,2.5166,3.36847
DI-2-22_S1,DI,Dunk Island,Inner,12003122,1212315322,2.49,91.01%,69.39%,2.06982,2.98295
DI-2-24_S13,DI,Dunk Island,Inner,17022078,1719229878,3.53,93.25%,78.78%,3.07165,3.89899
DI-2-26_S29,DI,Dunk Island,Inner,13962284,1410190684,2.90,92.35%,77.18%,2.51398,3.25741
DI-2-28_S16,DI,Dunk Island,Inner,13069438,1320013238,2.71,93.68%,73.61%,2.36527,3.21312
DI-2-29_S42,DI,Dunk Island,Inner,10877392,1098616592,2.26,94.81%,71.62%,2.01827,2.81793
DI-2-30_S39,DI,Dunk Island,Inner,13986806,1412667406,2.90,88.56%,75.35%,2.40493,3.19153
DI-2-4_S17,DI,Dunk Island,Inner,7955274,803482674,1.65,94.80%,61.67%,1.46431,2.37425
DI-2-7_S42,DI,Dunk Island,Inner,14093664,1423460064,2.92,86.81%,74.77%,2.35091,3.14419
FI-1-10_S8,FI,Fitzroy Island,Inner,8925458,901471258,1.85,93.53%,62.90%,1.60572,2.55282
FI-1-12_S17,FI,Fitzroy Island,Inner,13819860,1395805860,2.87,91.84%,76.74%,2.47628,3.22687
FI-1-13_S25,FI,Fitzroy Island,Inner,16280352,1644315552,3.38,94.04%,79.99%,2.9897,3.73768
FI-1-14_S30,FI,Fitzroy Island,Inner,10762290,1086991290,2.23,92.84%,68.82%,1.9366,2.81416
FI-1-16_S44,FI,Fitzroy Island,Inner,8892028,898094828,1.84,93.08%,64.04%,1.61054,2.5148
FI-1-18_S12,FI,Fitzroy Island,Inner,13404820,1353886820,2.78,89.24%,74.64%,2.32842,3.11953
FI-1-1_S24,FI,Fitzroy Island,Inner,17277302,1745007502,3.58,94.53%,79.74%,3.09411,3.88023
FI-1-21_S21,FI,Fitzroy Island,Inner,16348904,1651239304,3.39,93.64%,79.40%,2.97801,3.75078
FI-1-24_S27,FI,Fitzroy Island,Inner,15676598,1583336398,3.25,91.60%,77.21%,2.76766,3.58481
FI-1-26_S9,FI,Fitzroy Island,Inner,16794120,1696206120,3.48,94.60%,79.59%,3.07675,3.86567
FI-1-27_S43,FI,Fitzroy Island,Inner,14862538,1501116338,3.08,93.42%,77.38%,2.7021,3.49212
FI-1-30_S2,FI,Fitzroy Island,Inner,14052434,1419295834,2.92,93.66%,75.04%,2.53598,3.37929
FI-1-3_S9,FI,Fitzroy Island,Inner,114928038,11607731838,23.84,96.01%,77.27%,2.74588,3.55371
FI-1-4_S38,FI,Fitzroy Island,Inner,9903788,1000282588,2.05,94.02%,68.38%,1.81689,2.65694
